Date,Close
11/3/2016,3.255
11/4/2016,3.253
11/7/2016,3.285
11/8/2016,3.327
11/9/2016,3.484
11/10/2016,3.607
11/11/2016,3.606
11/14/2016,3.785
11/15/2016,3.725
11/16/2016,3.595
11/17/2016,3.647
11/18/2016,3.701
11/21/2016,3.626
11/22/2016,3.647
11/23/2016,3.676
11/24/2016,3.728
11/25/2016,3.675
11/28/2016,3.593
11/29/2016,3.633
11/30/2016,3.742
12/1/2016,3.843
12/2/2016,3.821
12/5/2016,3.838
12/6/2016,3.805
12/7/2016,3.722
12/8/2016,3.793
12/9/2016,3.817
12/12/2016,3.827
12/13/2016,3.803
12/14/2016,3.86
12/15/2016,3.965
12/16/2016,3.859
12/19/2016,3.847
12/20/2016,3.885
12/21/2016,3.859
12/22/2016,3.9
12/23/2016,3.901
12/28/2016,3.807
12/29/2016,3.793
12/30/2016,3.79
1/3/2017,3.785
1/4/2017,3.768
1/5/2017,3.684
1/6/2017,3.682
1/9/2017,3.692
1/10/2017,3.711
1/11/2017,3.696
1/12/2017,3.673
1/13/2017,3.683
1/16/2017,3.71
1/17/2017,3.668
1/18/2017,3.803
1/19/2017,3.83
1/20/2017,3.808
1/23/2017,3.74
1/24/2017,3.793
1/25/2017,3.775
1/27/2017,3.827
1/30/2017,3.78
1/31/2017,3.786
2/1/2017,3.829
2/2/2017,3.835
2/3/2017,3.863
2/6/2017,3.771
2/7/2017,3.75
2/8/2017,3.683
2/9/2017,3.739
2/10/2017,3.729
2/13/2017,3.755
2/14/2017,3.79
2/15/2017,3.811
2/16/2017,3.797
2/17/2017,3.813
2/20/2017,3.788
2/21/2017,3.807
2/22/2017,3.806
2/23/2017,3.737
2/24/2017,3.726
2/27/2017,3.729
2/28/2017,3.759
3/1/2017,3.802
3/2/2017,3.786
3/3/2017,3.798
3/6/2017,3.809
3/7/2017,3.853
3/8/2017,3.894
3/9/2017,3.923
3/10/2017,3.928
3/13/2017,3.914
3/14/2017,3.873
3/15/2017,3.768
3/16/2017,3.816
3/17/2017,3.793
3/20/2017,3.731
3/21/2017,3.714
3/22/2017,3.683
3/23/2017,3.71
3/24/2017,3.71
3/27/2017,3.659
3/28/2017,3.654
3/29/2017,3.606
3/30/2017,3.622
3/31/2017,3.601
4/3/2017,3.592
4/4/2017,3.548
4/5/2017,3.526
4/6/2017,3.528
4/7/2017,3.509
4/10/2017,3.519
4/11/2017,3.484
4/12/2017,3.466
4/13/2017,3.432
4/18/2017,3.442
4/19/2017,3.422
4/20/2017,3.463
4/21/2017,3.495
4/24/2017,3.548
4/26/2017,3.566
4/27/2017,3.567
4/28/2017,3.535
5/1/2017,3.54
5/2/2017,3.57
5/3/2017,3.566
5/4/2017,3.599
5/5/2017,3.612
5/8/2017,3.627
5/9/2017,3.644
5/10/2017,3.623
5/11/2017,3.613
5/12/2017,3.595
5/15/2017,3.545
5/16/2017,3.536
5/17/2017,3.484
5/18/2017,3.48
5/19/2017,3.458
5/22/2017,3.466
5/23/2017,3.421
5/24/2017,3.452
5/25/2017,3.405
5/26/2017,3.385
5/29/2017,3.381
5/30/2017,3.355
5/31/2017,3.34
6/1/2017,3.349
6/2/2017,3.377
6/5/2017,3.351
6/6/2017,3.329
6/7/2017,3.334
6/8/2017,3.363
6/9/2017,3.359
6/13/2017,3.339
6/14/2017,3.343
6/15/2017,3.296
6/16/2017,3.329
6/19/2017,3.329
6/20/2017,3.347
6/21/2017,3.311
6/22/2017,3.282
6/23/2017,3.278
6/26/2017,3.282
6/27/2017,3.261
6/28/2017,3.369
6/29/2017,3.414
