Date,Close
1/4/2000,6.375
1/5/2000,6.465
1/6/2000,6.403
1/7/2000,6.425
1/10/2000,6.525
1/11/2000,6.63
1/12/2000,6.59
1/13/2000,6.47
1/14/2000,6.56
1/17/2000,6.575
1/18/2000,6.63
1/19/2000,6.54
1/20/2000,6.84
1/21/2000,6.565
1/24/2000,6.565
1/25/2000,6.563
1/27/2000,6.82
1/28/2000,6.47
1/31/2000,6.505
2/1/2000,6.45
2/2/2000,6.62
2/3/2000,6.605
2/4/2000,6.625
2/7/2000,6.675
2/8/2000,6.575
2/9/2000,6.545
2/10/2000,6.5
2/11/2000,6.539
2/14/2000,6.493
2/15/2000,6.515
2/16/2000,6.563
2/17/2000,6.578
2/18/2000,6.535
2/21/2000,6.495
2/22/2000,6.31
2/23/2000,6.46
2/24/2000,6.343
2/25/2000,6.21
2/28/2000,6.285
2/29/2000,6.243
3/1/2000,6.108
3/2/2000,6.155
3/3/2000,6.115
3/6/2000,6.42
3/7/2000,6.43
3/8/2000,6.37
3/9/2000,6.39
3/10/2000,6.41
3/13/2000,6.34
3/14/2000,6.2
3/15/2000,6.183
3/16/2000,6.163
3/17/2000,6.215
3/20/2000,6.265
3/21/2000,6.105
3/22/2000,6.22
3/23/2000,6.3
3/24/2000,6.47
3/27/2000,6.453
3/28/2000,6.408
3/29/2000,6.43
3/30/2000,6.435
3/31/2000,6.268
4/3/2000,6.3
4/4/2000,6.308
4/5/2000,6.248
4/6/2000,6.213
4/7/2000,6.273
4/10/2000,6.23
4/11/2000,6.183
4/12/2000,6.198
4/13/2000,6.148
4/14/2000,6.05
4/17/2000,5.933
4/18/2000,6.013
4/19/2000,6.028
4/20/2000,6.08
4/26/2000,6.173
4/27/2000,6.25
4/28/2000,6.325
5/1/2000,6.435
5/2/2000,6.395
5/3/2000,6.385
5/4/2000,6.368
5/5/2000,6.333
5/8/2000,6.32
5/9/2000,6.365
5/10/2000,6.325
5/11/2000,6.25
5/12/2000,6.258
5/15/2000,6.33
5/16/2000,6.303
5/17/2000,6.378
5/18/2000,6.44
5/19/2000,6.423
5/22/2000,6.303
5/23/2000,6.227
5/24/2000,6.22
5/25/2000,6.243
5/26/2000,6.155
5/29/2000,6.068
5/30/2000,6.102
5/31/2000,6.098
6/1/2000,6
6/2/2000,5.977
6/5/2000,5.96
6/6/2000,5.935
6/7/2000,5.93
6/8/2000,5.975
6/9/2000,5.905
6/13/2000,5.84
6/14/2000,5.913
6/15/2000,5.945
6/16/2000,5.93
6/19/2000,5.89
6/20/2000,5.94
6/21/2000,5.995
6/22/2000,6.015
6/23/2000,5.975
6/26/2000,5.98
6/27/2000,5.945
6/28/2000,5.965
6/29/2000,5.928
6/30/2000,5.868
7/3/2000,5.905
7/4/2000,5.83
7/5/2000,5.82
7/6/2000,5.843
7/7/2000,5.88
7/10/2000,5.795
7/11/2000,5.86
7/12/2000,5.863
7/13/2000,5.925
7/14/2000,5.868
7/17/2000,5.945
7/18/2000,5.95
7/19/2000,5.975
7/20/2000,5.99
7/21/2000,5.883
7/24/2000,5.86
7/25/2000,5.915
7/26/2000,5.943
7/27/2000,6.04
7/28/2000,6.102
7/31/2000,6.155
8/1/2000,6.163
8/2/2000,6.28
8/3/2000,6.255
8/4/2000,6.235
8/8/2000,6.205
8/9/2000,6.188
8/10/2000,6.275
8/11/2000,6.295
8/14/2000,6.355
8/15/2000,6.355
8/16/2000,6.37
8/17/2000,6.435
8/18/2000,6.45
8/21/2000,6.41
8/22/2000,6.39
8/23/2000,6.45
8/24/2000,6.41
8/25/2000,6.42
8/28/2000,6.4
8/29/2000,6.415
8/30/2000,6.465
8/31/2000,6.435
9/1/2000,6.29
9/4/2000,6.178
9/5/2000,6.233
9/6/2000,6.268
9/7/2000,6.33
9/8/2000,6.333
9/11/2000,6.3
9/12/2000,6.315
9/13/2000,6.29
9/14/2000,6.295
9/15/2000,6.275
9/18/2000,6.295
9/19/2000,6.315
9/20/2000,6.32
9/21/2000,6.36
9/22/2000,6.248
9/25/2000,6.265
9/26/2000,6.265
9/27/2000,6.28
9/28/2000,6.243
9/29/2000,6.255
10/3/2000,6.185
10/4/2000,6.17
10/5/2000,6.14
10/6/2000,6.148
10/9/2000,6.025
10/10/2000,6.09
10/11/2000,6.075
10/12/2000,6.07
10/13/2000,6
10/16/2000,6.053
10/17/2000,6.065
10/18/2000,6.075
10/19/2000,6.04
10/20/2000,5.995
10/23/2000,5.968
10/24/2000,5.94
10/25/2000,5.935
10/26/2000,6.015
10/27/2000,6.038
10/30/2000,6.1
10/31/2000,6.095
11/1/2000,6.015
11/2/2000,6.045
11/3/2000,6.029
11/6/2000,6.08
11/7/2000,6.055
11/8/2000,6
11/9/2000,5.95
11/10/2000,5.948
11/13/2000,5.9
11/14/2000,5.9
11/15/2000,5.895
11/16/2000,5.915
11/17/2000,5.84
11/20/2000,5.875
11/21/2000,5.878
11/22/2000,5.823
11/23/2000,5.85
11/24/2000,5.87
11/27/2000,5.855
11/28/2000,5.805
11/29/2000,5.735
11/30/2000,5.685
12/1/2000,5.72
12/4/2000,5.665
12/5/2000,5.51
12/6/2000,5.498
12/7/2000,5.455
12/8/2000,5.425
12/11/2000,5.48
12/12/2000,5.463
12/13/2000,5.413
12/14/2000,5.31
12/15/2000,5.35
12/18/2000,5.315
12/19/2000,5.37
12/20/2000,5.268
12/21/2000,5.265
12/22/2000,5.26
12/27/2000,5.263
12/28/2000,5.325
12/29/2000,5.281
1/2/2001,5.09
1/3/2001,5.115
1/4/2001,5.06
1/5/2001,4.875
1/8/2001,4.975
1/9/2001,5.03
1/10/2001,5.04
1/11/2001,5
1/12/2001,4.97
1/15/2001,5.06
1/16/2001,5.07
1/17/2001,5.073
1/18/2001,4.965
1/19/2001,4.995
1/22/2001,5.035
1/23/2001,5.005
1/24/2001,4.93
1/25/2001,4.935
1/29/2001,4.9
1/30/2001,4.885
1/31/2001,4.755
2/1/2001,4.798
2/2/2001,4.885
2/5/2001,4.875
2/6/2001,4.893
2/7/2001,4.905
2/8/2001,4.98
2/9/2001,4.98
2/12/2001,4.865
2/13/2001,4.855
2/14/2001,5.03
2/15/2001,5.14
2/16/2001,5.06
2/19/2001,4.955
2/20/2001,4.94
2/21/2001,4.92
2/22/2001,4.92
2/23/2001,4.81
2/26/2001,4.785
2/27/2001,4.795
2/28/2001,4.805
3/1/2001,4.84
3/2/2001,4.82
3/5/2001,4.75
3/6/2001,4.735
3/7/2001,4.64
3/8/2001,4.655
3/9/2001,4.585
3/12/2001,4.573
3/13/2001,4.595
3/14/2001,4.508
3/15/2001,4.455
3/16/2001,4.435
3/19/2001,4.43
3/20/2001,4.37
3/21/2001,4.395
3/22/2001,4.48
3/23/2001,4.635
3/26/2001,4.69
3/27/2001,4.863
3/28/2001,4.81
3/29/2001,4.795
3/30/2001,4.73
4/2/2001,4.675
4/3/2001,4.77
4/4/2001,4.64
4/5/2001,4.76
4/6/2001,4.84
4/9/2001,4.745
4/10/2001,4.805
4/11/2001,4.93
4/12/2001,5.005
4/17/2001,4.98
4/18/2001,5.035
4/19/2001,4.825
4/20/2001,4.95
4/23/2001,4.94
4/24/2001,4.945
4/26/2001,5.02
4/27/2001,4.925
4/30/2001,5.015
5/1/2001,5.045
5/2/2001,5.035
5/3/2001,4.98
5/4/2001,4.955
5/7/2001,4.905
5/8/2001,4.845
5/9/2001,4.84
5/10/2001,4.81
5/11/2001,4.975
5/14/2001,5.16
5/15/2001,5.185
5/16/2001,5.18
5/17/2001,5.215
5/18/2001,5.235
5/21/2001,5.315
5/22/2001,5.265
5/23/2001,5.26
5/24/2001,5.23
5/25/2001,5.25
5/28/2001,5.24
5/29/2001,5.26
5/30/2001,5.29
5/31/2001,5.24
6/1/2001,5.21
6/4/2001,5.14
6/5/2001,5.17
6/6/2001,5.38
6/7/2001,5.385
6/8/2001,5.405
6/12/2001,5.37
6/13/2001,5.28
6/14/2001,5.21
6/15/2001,5.145
6/18/2001,5.125
6/19/2001,5.145
6/20/2001,5.15
6/21/2001,5.145
6/22/2001,5.135
6/25/2001,5.05
6/26/2001,5.07
6/27/2001,5.21
6/28/2001,5.31
6/29/2001,5.38
7/2/2001,5.41
7/3/2001,5.49
7/4/2001,5.53
7/5/2001,5.49
7/6/2001,5.51
7/9/2001,5.47
7/10/2001,5.49
7/11/2001,5.415
7/12/2001,5.53
7/13/2001,5.53
7/16/2001,5.5
7/17/2001,5.48
7/18/2001,5.45
7/19/2001,5.35
7/20/2001,5.315
7/23/2001,5.35
7/24/2001,5.375
7/25/2001,5.5
7/26/2001,5.523
7/27/2001,5.505
7/30/2001,5.475
7/31/2001,5.47
8/1/2001,5.4
8/2/2001,5.39
8/3/2001,5.42
8/7/2001,5.345
8/8/2001,5.365
8/9/2001,5.055
8/10/2001,5.06
8/13/2001,5.1
8/14/2001,5.1
8/15/2001,5.15
8/16/2001,5.165
8/17/2001,5.115
8/20/2001,5.055
8/21/2001,5.07
8/22/2001,5.008
8/23/2001,5.06
8/24/2001,5.05
8/27/2001,4.95
8/28/2001,4.905
8/29/2001,4.78
8/30/2001,4.795
8/31/2001,4.755
9/3/2001,4.77
9/4/2001,4.84
9/5/2001,5.04
9/6/2001,5.08
9/7/2001,4.98
9/10/2001,4.755
9/11/2001,4.78
9/12/2001,4.39
9/13/2001,4.44
9/14/2001,4.388
9/17/2001,4.235
9/18/2001,4.2
9/19/2001,4.305
9/20/2001,4.225
9/21/2001,4.265
9/24/2001,4.295
9/25/2001,4.315
9/26/2001,4.255
9/27/2001,4.23
9/28/2001,4.23
10/1/2001,4.24
10/2/2001,4.195
10/3/2001,4.23
10/4/2001,4.27
10/5/2001,4.21
10/8/2001,4.105
10/9/2001,4.12
10/10/2001,4.15
10/11/2001,4.245
10/12/2001,4.36
10/15/2001,4.3
10/16/2001,4.265
10/17/2001,4.275
10/18/2001,4.25
10/19/2001,4.245
10/22/2001,4.265
10/23/2001,4.378
10/24/2001,4.245
10/25/2001,4.13
10/26/2001,4.13
10/29/2001,4.065
10/30/2001,3.925
10/31/2001,3.947
11/1/2001,4.095
11/2/2001,4.015
11/5/2001,3.975
11/6/2001,3.958
11/7/2001,3.887
11/8/2001,3.813
11/9/2001,3.88
11/12/2001,4.03
11/13/2001,4.135
11/14/2001,4.325
11/15/2001,4.54
11/16/2001,4.545
11/19/2001,4.535
11/20/2001,4.413
11/21/2001,4.54
11/22/2001,4.67
11/23/2001,4.715
11/26/2001,4.66
11/27/2001,4.635
11/28/2001,4.5
11/29/2001,4.49
11/30/2001,4.385
12/3/2001,4.378
12/4/2001,4.473
12/5/2001,4.485
12/6/2001,4.688
12/7/2001,4.655
12/10/2001,4.585
12/11/2001,4.545
12/12/2001,4.543
12/13/2001,4.445
12/14/2001,4.48
12/17/2001,4.535
12/18/2001,4.528
12/19/2001,4.47
12/20/2001,4.475
12/21/2001,4.505
12/24/2001,4.47
12/27/2001,4.62
12/28/2001,4.57
12/31/2001,4.555
1/2/2002,4.6
1/3/2002,4.575
1/4/2002,4.605
1/7/2002,4.565
1/8/2002,4.475
1/9/2002,4.45
1/10/2002,4.448
1/11/2002,4.29
1/14/2002,4.295
1/15/2002,4.369
1/16/2002,4.39
1/17/2002,4.45
1/18/2002,4.48
1/21/2002,4.555
1/22/2002,4.574
1/23/2002,4.755
1/24/2002,4.71
1/25/2002,4.77
1/29/2002,4.805
1/30/2002,4.73
1/31/2002,4.84
2/1/2002,4.75
2/4/2002,4.79
2/5/2002,4.73
2/6/2002,4.69
2/7/2002,4.673
2/8/2002,4.698
2/11/2002,4.788
2/12/2002,4.855
2/13/2002,4.823
2/14/2002,4.96
2/15/2002,4.83
2/18/2002,4.91
2/19/2002,4.86
2/20/2002,4.873
2/21/2002,4.885
2/22/2002,4.82
2/25/2002,4.845
2/26/2002,4.85
2/27/2002,4.91
2/28/2002,4.85
3/1/2002,4.855
3/4/2002,5
3/5/2002,5.005
3/6/2002,4.875
3/7/2002,5.015
3/8/2002,5.123
3/11/2002,5.133
3/12/2002,5.12
3/13/2002,5.695
3/14/2002,5.133
3/15/2002,5.313
3/18/2002,5.29
3/19/2002,5.315
3/20/2002,5.305
3/21/2002,5.358
3/22/2002,5.345
3/25/2002,5.368
3/26/2002,5.405
3/27/2002,5.34
3/28/2002,5.325
4/2/2002,5.465
4/3/2002,5.38
4/4/2002,5.285
4/5/2002,5.255
4/8/2002,5.227
4/9/2002,5.273
4/10/2002,5.205
4/11/2002,5.308
4/12/2002,5.695
4/15/2002,5.65
4/16/2002,5.625
4/17/2002,5.68
4/18/2002,5.62
4/19/2002,5.65
4/22/2002,5.633
4/23/2002,5.638
4/24/2002,5.685
4/26/2002,5.55
4/29/2002,5.418
4/30/2002,5.42
5/1/2002,5.405
5/2/2002,5.4
5/3/2002,5.475
5/6/2002,5.468
5/7/2002,5.405
5/8/2002,5.519
5/9/2002,5.668
5/10/2002,5.675
5/13/2002,5.62
5/14/2002,5.66
5/15/2002,5.765
5/16/2002,5.775
5/17/2002,5.755
5/20/2002,5.81
5/21/2002,5.745
5/22/2002,5.693
5/23/2002,5.653
5/24/2002,5.685
5/27/2002,5.733
5/28/2002,5.785
5/29/2002,5.73
5/30/2002,5.72
5/31/2002,5.823
6/3/2002,5.98
6/4/2002,5.925
6/5/2002,5.913
6/6/2002,5.885
6/7/2002,5.745
6/11/2002,5.74
6/12/2002,5.654
6/13/2002,5.665
6/14/2002,5.52
6/17/2002,5.48
6/18/2002,5.513
6/19/2002,5.443
6/20/2002,5.43
6/21/2002,5.475
6/24/2002,5.538
6/25/2002,5.535
6/26/2002,5.32
6/27/2002,5.438
6/28/2002,5.503
7/1/2002,5.53
7/2/2002,5.485
7/3/2002,5.38
7/4/2002,5.428
7/5/2002,5.495
7/8/2002,5.54
7/9/2002,5.51
7/10/2002,5.395
7/11/2002,5.285
7/12/2002,5.32
7/15/2002,5.21
7/16/2002,5.273
7/17/2002,5.285
7/18/2002,5.275
7/19/2002,5.213
7/22/2002,5.123
7/23/2002,5.16
7/24/2002,5.045
7/25/2002,5.115
7/26/2002,5.025
7/29/2002,5.08
7/30/2002,5.195
7/31/2002,5.222
8/1/2002,5.17
8/2/2002,5.065
8/6/2002,4.883
8/7/2002,4.98
8/8/2002,4.88
8/9/2002,4.97
8/12/2002,4.978
8/13/2002,4.974
8/14/2002,4.868
8/15/2002,4.99
8/16/2002,5.045
8/19/2002,5.14
8/20/2002,5.145
8/21/2002,5.105
8/22/2002,5.15
8/23/2002,5.2
8/26/2002,5.18
8/27/2002,5.145
8/28/2002,5.23
8/29/2002,5.175
8/30/2002,5.113
9/2/2002,5.06
9/3/2002,4.938
9/4/2002,4.865
9/5/2002,4.89
9/6/2002,4.825
9/9/2002,4.943
9/10/2002,5.025
9/11/2002,5.06
9/12/2002,5.22
9/13/2002,5.078
9/16/2002,5.02
9/17/2002,5.14
