Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2000-01-03,6.44,6.596,6.44,6.592,6.1622,6.0583,5.8199
2000-01-04,6.589,6.628,6.478,6.497,6.1684,6.0618,5.8269
2000-01-05,6.494,6.612,6.465,6.594,6.1764,6.0668,5.8339
2000-01-06,6.59,6.594,6.519,6.524,6.1828,6.0712,5.8405
2000-01-07,6.517,6.62,6.504,6.515,6.1883,6.0766,5.8473
2000-01-10,6.511,6.572,6.511,6.552,6.1953,6.0825,5.8543
2000-01-11,6.552,6.675,6.547,6.657,6.206,6.0902,5.8615
2000-01-12,6.655,6.712,6.636,6.703,6.2196,6.0985,5.8691
2000-01-13,6.703,6.708,6.62,6.63,6.2313,6.1059,5.8759
2000-01-14,6.63,6.706,6.571,6.679,6.2445,6.1139,5.8834
2000-01-18,6.679,6.771,6.667,6.748,6.2596,6.1225,5.8909
2000-01-19,6.746,6.764,6.704,6.732,6.275,6.1316,5.8981
2000-01-20,6.73,6.792,6.709,6.788,6.2923,6.1423,5.9061
2000-01-21,6.781,6.828,6.761,6.765,6.3088,6.1523,5.9143
2000-01-24,6.763,6.786,6.664,6.685,6.3234,6.1605,5.9222
2000-01-25,6.682,6.712,6.648,6.692,6.3377,6.1679,5.9304
2000-01-26,6.692,6.717,6.65,6.664,6.3524,6.1748,5.9385
2000-01-27,6.664,6.754,6.664,6.692,6.3679,6.182,5.9467
2000-01-28,6.697,6.816,6.57,6.658,6.3819,6.1885,5.9545
2000-01-31,6.649,6.72,6.6,6.665,6.3945,6.1962,5.9622
2000-02-01,6.663,6.679,6.605,6.619,6.4059,6.2031,5.9694
2000-02-02,6.617,6.672,6.557,6.573,6.4162,6.2095,5.9762
2000-02-03,6.571,6.635,6.329,6.489,6.4243,6.2148,5.9829
2000-02-04,6.435,6.565,6.41,6.549,6.4337,6.2213,5.9899
2000-02-07,6.537,6.645,6.537,6.639,6.4449,6.2287,5.9972
2000-02-08,6.636,6.645,6.576,6.613,6.4548,6.2352,6.0041
2000-02-09,6.613,6.696,6.574,6.66,6.4639,6.2426,6.0111
2000-02-10,6.573,6.68,6.537,6.671,6.4735,6.2504,6.0183
2000-02-11,6.675,6.675,6.595,6.604,6.4816,6.2577,6.0253
2000-02-14,6.619,6.625,6.537,6.554,6.488,6.2642,6.0318
2000-02-15,6.552,6.582,6.537,6.552,6.4958,6.2705,6.0385
2000-02-16,6.552,6.578,6.537,6.545,6.5039,6.2768,6.0445
2000-02-17,6.545,6.591,6.491,6.567,6.5133,6.2846,6.0505
2000-02-18,6.562,6.575,6.476,6.489,6.5203,6.2917,6.0559
2000-02-22,6.485,6.485,6.339,6.361,6.525,6.2972,6.0608
2000-02-23,6.358,6.44,6.356,6.422,6.532,6.3023,6.0653
2000-02-24,6.42,6.422,6.324,6.365,6.5373,6.3064,6.0694
2000-02-25,6.362,6.403,6.32,6.326,6.5395,6.3109,6.0734
2000-02-28,6.345,6.429,6.328,6.422,6.5433,6.3154,6.0776
2000-02-29,6.424,6.456,6.405,6.409,6.5453,6.3201,6.0818
2000-03-01,6.411,6.422,6.358,6.386,6.5474,6.3237,6.0867
2000-03-02,6.386,6.437,6.379,6.384,6.548,6.3271,6.0904
2000-03-03,6.379,6.413,6.341,6.388,6.5482,6.3306,6.0942
2000-03-06,6.385,6.43,6.381,6.411,6.549,6.3344,6.098
